City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mil'kovo,55.6078,37.7956,0.22,94,100,1.92,RU,1698626986
1,iqaluit,63.7506,-68.5145,-8.15,73,100,5.14,CA,1698626986
2,lapeer,43.0514,-83.3188,8.21,76,100,1.54,US,1698626986
3,tiksi,71.6872,128.8694,-16.28,98,98,3.05,RU,1698626987
4,cooma,-36.2333,149.1333,22.94,25,100,8.33,AU,1698626987
5,stanley,54.868,-1.6985,7.62,95,75,3.6,GB,1698626987
6,olonkinbyen,70.9221,-8.7187,0.33,69,100,1.61,SJ,1698626987
7,port-aux-francais,-49.35,70.2167,1.76,67,96,11.48,TF,1698626987
8,san andres,12.5847,-81.7006,26.01,94,20,1.03,CO,1698626881
9,port elizabeth,-33.918,25.5701,14.16,88,75,4.12,ZA,1698626987
10,qamdo,31.1667,97.2333,-2.55,33,100,1.69,CN,1698626762
11,invercargill,-46.4,168.35,17.23,48,5,1.34,NZ,1698626988
12,albany,42.6001,-73.9662,6.47,93,100,0.71,US,1698626988
13,ushuaia,-54.8,-68.3,0.81,75,75,6.17,AR,1698626988
14,afaahiti,-17.75,-149.2833,26.93,81,45,7.48,PF,1698626988
15,prince rupert,54.3161,-130.3201,6.83,75,0,2.06,CA,1698626988
16,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,4.0,RU,1698626988
17,waitangi,-43.9535,-176.5597,11.14,77,5,3.73,NZ,1698626988
18,saipan,15.1355,145.701,31.39,74,40,6.17,MP,1698626989
19,coronel suarez,-37.4547,-61.9334,9.77,75,55,9.78,AR,1698626989
20,enterprise,36.0252,-115.2419,16.61,15,0,8.75,US,1698626989
21,adamstown,-25.066,-130.1015,22.52,82,100,4.7,PN,1698626989
22,labasa,-16.4167,179.3833,29.55,68,68,2.0,FJ,1698626989
23,ribeira grande,38.5167,-28.7,17.6,63,100,1.76,PT,1698626989
24,taltal,-25.4,-70.4833,16.81,78,23,1.12,CL,1698626766
25,puerto natales,-51.7236,-72.4875,1.74,84,97,2.48,CL,1698626990
26,st. john's,47.5649,-52.7093,5.54,69,75,11.32,CA,1698626990
27,sitka,57.0531,-135.33,7.94,66,75,2.06,US,1698626990
28,bethel,41.3712,-73.414,9.55,88,100,3.09,US,1698626953
29,rabigh,22.7986,39.0349,28.44,58,0,1.94,SA,1698626990
30,al hawatah,13.4167,34.6333,23.59,73,100,3.07,SD,1698626990
31,avarua,-21.2078,-159.775,25.03,61,40,4.12,CK,1698626990
32,carnarvon,-24.8667,113.6333,21.46,62,0,10.11,AU,1698626990
33,fale old settlement,-9.3852,-171.2468,28.86,69,100,4.74,TK,1698626724
34,bhadasar,28.2833,74.3167,24.83,33,0,2.29,IN,1698626991
35,luderitz,-26.6481,15.1594,21.7,29,2,4.78,NA,1698626734
36,puerto ayora,-0.7393,-90.3518,24.19,90,100,2.24,EC,1698626789
37,ilulissat,69.2167,-51.1,-4.99,86,100,2.06,GL,1698626991
38,konarka,19.9,86.1167,21.22,77,11,3.14,IN,1698626991
39,uruzgan,32.8333,66.0,12.98,36,0,2.42,AF,1698626991
40,edinburgh of the seven seas,-37.0676,-12.3116,10.85,66,26,12.11,SH,1698626992
41,fort mcmurray,56.7268,-111.381,-1.27,64,0,0.51,CA,1698626722
42,arrifes,37.7667,-25.7,14.14,77,40,2.57,PT,1698626992
43,punasa,22.2333,76.4,18.64,52,100,1.94,IN,1698626992
44,nyaunglebin,17.95,96.7333,24.44,90,98,1.71,MM,1698626992
45,ancud,-41.8697,-73.8203,7.19,82,100,10.2,CL,1698626992
46,yellowknife,62.456,-114.3525,-6.44,96,20,2.06,CA,1698626992
47,howrah,22.5892,88.3103,22.0,94,20,0.0,IN,1698626992
48,east london,-33.0153,27.9116,14.24,65,78,5.36,ZA,1698626993
49,el alto,-4.2714,-81.2147,19.81,79,100,8.39,PE,1698626993
50,holualoa,19.6228,-155.9522,27.92,69,20,5.14,US,1698626695
51,sinabang,2.4803,96.3801,26.3,82,98,1.11,ID,1698626993
52,augusta,48.3667,10.8833,9.18,93,75,0.51,DE,1698626993
53,quang ngai,15.1167,108.8,26.63,84,72,2.43,VN,1698626993
54,igarka,67.4667,86.5833,-17.2,97,45,0.97,RU,1698626993
55,vorgashor,67.5833,63.95,-18.26,98,33,2.21,RU,1698626993
56,grytviken,-54.2811,-36.5092,4.56,99,100,3.18,GS,1698626993
57,blackmans bay,-43.0167,147.3167,16.07,58,86,3.62,AU,1698626994
58,ust-nera,64.5667,143.2,-12.89,93,100,0.57,RU,1698626735
59,khandyga,62.6667,135.6,-5.68,94,100,1.47,RU,1698626698
60,hermanus,-34.4187,19.2345,12.99,61,0,10.34,ZA,1698626994
61,nalut,30.3333,10.85,22.37,22,100,5.57,LY,1698626994
62,badger,64.8,-147.5333,1.56,87,40,1.54,US,1698626707
63,udachny,66.4167,112.4,-21.42,76,95,1.93,RU,1698626994
64,isafjordur,66.0755,-23.124,1.02,80,17,1.46,IS,1698626994
65,aasiaat,68.7098,-52.8699,-4.56,76,100,2.82,GL,1698626995
66,taxisco,14.0708,-90.4631,23.58,92,100,1.26,GT,1698626995
67,xinglongshan,43.9561,125.4661,12.86,67,40,5.0,CN,1698626995
68,powell,40.1578,-83.0752,12.59,97,100,0.45,US,1698626995
69,lamu,-2.2717,40.902,25.12,85,84,3.9,KE,1698626995
70,karachi,24.9056,67.0822,21.9,88,4,0.0,PK,1698626231
71,souillac,-20.5167,57.5167,23.21,88,40,1.03,MU,1698626995
72,the pas,53.8251,-101.2541,-2.99,86,20,3.6,CA,1698626995
73,port lincoln,-34.7333,135.8667,16.12,52,84,9.43,AU,1698626996
74,al qubbah,32.7616,22.2424,15.95,95,88,3.25,LY,1698626996
75,hasaki,35.7333,140.8333,20.16,60,0,8.04,JP,1698626996
76,manado,1.487,124.8455,31.43,55,20,1.03,ID,1698626996
77,cambria,35.5641,-121.0808,21.54,64,0,0.45,US,1698626996
78,saint-pierre,-21.3393,55.4781,24.82,73,100,3.6,RE,1698626996
79,helston,50.1032,-5.2705,13.11,82,100,6.17,GB,1698626996
80,wailua homesteads,22.0669,-159.378,27.44,73,75,4.63,US,1698626997
81,malvik,63.4333,10.6833,-1.94,91,0,3.09,NO,1698626997
82,north bend,43.4065,-124.2243,18.95,42,0,1.54,US,1698626997
83,college,64.8569,-147.8028,1.61,77,100,1.54,US,1698626997
84,kiunga,-6.1219,141.2906,25.43,89,100,1.31,PG,1698626997
85,new norfolk,-42.7826,147.0587,16.72,64,93,3.7,AU,1698626997
86,trincomalee,8.5711,81.2335,25.83,82,100,1.12,LK,1698626997
87,tondano,1.3038,124.9112,27.05,52,100,1.5,ID,1698626997
88,antofagasta,-23.65,-70.4,17.6,77,42,2.82,CL,1698626866
89,usinsk,65.9939,57.5281,-11.63,87,100,2.68,RU,1698626998
90,punta arenas,-53.15,-70.9167,5.06,60,20,8.23,CL,1698626921
91,queenstown,-31.8976,26.8753,4.08,82,16,5.81,ZA,1698626998
92,tarawa,1.419,172.984,32.05,66,20,2.57,KI,1698626998
93,del rio,29.3627,-100.8968,10.01,87,100,11.83,US,1698626998
94,axim,4.8699,-2.2405,25.81,86,6,1.27,GH,1698626998
95,fort bragg,35.139,-79.006,21.75,78,0,0.0,US,1698626998
96,grand falls-windsor,48.9332,-55.6649,3.61,63,38,0.45,CA,1698626909
